,name,time,prompt,output
18,MONICA FREAKS CHANDLER OUT ‼️‼️UNO REVERSE.mp4,8.941929340362549,Give me an overview of what's going on in the video.,"The video shows a woman sitting on a couch, talking to a man who is sitting in a chair. The woman is holding a book and reading it while the man is looking at her.</s>"
19,MONICA FREAKS CHANDLER OUT ‼️‼️UNO REVERSE.mp4,7.345015048980713,Who are the main characters in the video?,The main characters in the video are a man and a woman who are sitting on a couch and having a conversation. The woman is wearing a white shirt and the man is wearing a red and white shirt.</s>
20,MONICA FREAKS CHANDLER OUT ‼️‼️UNO REVERSE.mp4,8.701690912246704,What is the setting of the video?,"The video takes place in a living room where a man and a woman are sitting on a couch. The man is wearing a red and black shirt, and the woman is wearing a white shirt.</s>"
21,MONICA FREAKS CHANDLER OUT ‼️‼️UNO REVERSE.mp4,9.735533237457275,What is the main conflict or problem presented in the video?,"The main conflict or problem presented in the video is the woman's pregnancy and her desire to have a baby. She is seen talking to a doctor and expressing her desire to have a baby, but the doctor tells her that she is too young.</s>"
22,MONICA FREAKS CHANDLER OUT ‼️‼️UNO REVERSE.mp4,10.0392427444458,What are the key events leading up to this point in the video?,"The video starts with a man and a woman sitting on a couch, and then the man leaves. The woman then talks to the camera and shows a clip of the man. Later, the man returns and talks to the woman, and she shows another clip.</s>"
23,MONICA FREAKS CHANDLER OUT ‼️‼️UNO REVERSE.mp4,9.349332094192505,Can you describe any notable actions or dialogue in the video?,"Yes, in the video, a woman is seen sitting on a couch and talking to a man. She then stands up and walks away. Later, she is seen sitting on a chair and talking to the same man. The video also shows a man sitting on a couch with a woman, and a woman sitting on a couch with a man.</s>"
24,Phil is not regretting buying Luke that super soaker now ModernFamily LukeDunphy Shorts.mp4,8.661817789077759,Can you provide a summary of the video?,"Sure, the video shows a man and a woman sitting at a table with a boy standing behind them. The boy is holding a toy and talking to the man. The man is also holding a toy and talking to the woman. The boy then walks away.</s>"
25,Phil is not regretting buying Luke that super soaker now ModernFamily LukeDunphy Shorts.mp4,10.318418502807617,Describe the events unfolding in the video.,"The video shows a man and a woman sitting at a table, with the man reading a book and the woman looking at her phone. The man then gets up and walks away, and the woman follows him. They both end up in the kitchen, where the man is seen washing dishes while the woman is seen talking to him.</s>"
26,Phil is not regretting buying Luke that super soaker now ModernFamily LukeDunphy Shorts.mp4,8.67526388168335,Give me an overview of what's going on in the video.,"The video shows a man and a woman sitting at a table, with the man reading a book and the woman doing homework. The man then leaves the room, and the woman continues to work.</s>"
27,Phil is not regretting buying Luke that super soaker now ModernFamily LukeDunphy Shorts.mp4,7.8057005405426025,Who are the main characters in the video?,"The main characters in the video are a man and a woman who are having a conversation at a table. The man is holding a toy and talking to the woman, who is sitting across from him. The man then shows the woman the toy and they both laugh.</s>"
28,Phil is not regretting buying Luke that super soaker now ModernFamily LukeDunphy Shorts.mp4,9.62152886390686,What is the setting of the video?,"The video takes place in a kitchen where a woman is sitting at a table with a child. The man is also present in the kitchen, and he is seen holding a toy and a blue toothbrush.</s>"
29,Phil is not regretting buying Luke that super soaker now ModernFamily LukeDunphy Shorts.mp4,8.512027263641357,What is the main conflict or problem presented in the video?,"The main conflict in the video is the woman's refusal to help the boy with his homework. She is shown sitting at the table with a book, but she does not seem interested in helping him.</s>"
30,Phil is not regretting buying Luke that super soaker now ModernFamily LukeDunphy Shorts.mp4,9.019350051879883,What are the key events leading up to this point in the video?,"The video starts with a man and a woman sitting at a table, and then the man leaves. The woman is then seen cleaning the table. Later, the man returns and starts talking to the woman.</s>"
31,Phil is not regretting buying Luke that super soaker now ModernFamily LukeDunphy Shorts.mp4,8.743324279785156,Can you describe any notable actions or dialogue in the video?,"Yes, in the video, a man and a woman are seen sitting at a table with a boy. The boy is holding a toy and talking to the man. The man then takes the toy away from the boy and puts it in a cabinet. The boy then grabs the toy back and runs out of the room.</s>"
32,Pitcher की Presentation के बाद Aman ने पूछा ‘Khaane Me Kya Hai’  Shark Tank India S3  Full Pitch.mp4,8.224921703338623,Can you provide a summary of the video?,"Sure! The video features a man and a woman sitting in chairs, with the woman speaking to the camera. The man is also seen speaking to the camera, and the woman laughs.</s>"
33,Pitcher की Presentation के बाद Aman ने पूछा ‘Khaane Me Kya Hai’  Shark Tank India S3  Full Pitch.mp4,8.76482343673706,Describe the events unfolding in the video.,"The video shows a woman hosting a news segment, followed by a man speaking to the camera. The man then interviews a woman, and the video ends with the woman speaking to the camera.</s>"
34,Pitcher की Presentation के बाद Aman ने पूछा ‘Khaane Me Kya Hai’  Shark Tank India S3  Full Pitch.mp4,10.481454610824585,Give me an overview of what's going on in the video.,"The video features a woman in a white shirt and a man in a suit sitting in a chair. The woman is seen laughing and talking to the man, while the man is reading a paper. The video also includes a clip of the woman on a TV show.</s>"
35,Pitcher की Presentation के बाद Aman ने पूछा ‘Khaane Me Kya Hai’  Shark Tank India S3  Full Pitch.mp4,8.477570056915283,Who are the main characters in the video?,"The main characters in the video are a woman and a man who are seen sitting in chairs and talking to each other. The woman is wearing a white shirt and has a pearl necklace, while the man is wearing a blue suit and glasses.</s>"
36,Pitcher की Presentation के बाद Aman ने पूछा ‘Khaane Me Kya Hai’  Shark Tank India S3  Full Pitch.mp4,9.303524255752563,What is the setting of the video?,"The video takes place in a studio where a woman is seen talking to the camera. Later, a man is shown sitting in a chair and talking to the camera.</s>"
37,Pitcher की Presentation के बाद Aman ने पूछा ‘Khaane Me Kya Hai’  Shark Tank India S3  Full Pitch.mp4,11.091201305389404,What is the main conflict or problem presented in the video?,"The main conflict or problem presented in the video is the woman's struggle to find a job. She is shown sitting in a chair, looking at her phone, and talking to a man. The video also shows her sitting in a chair with a sign that says ""I'm not a quitter"" and a man in a suit talking to her.</s>"
38,Pitcher की Presentation के बाद Aman ने पूछा ‘Khaane Me Kya Hai’  Shark Tank India S3  Full Pitch.mp4,12.199987173080444,What are the key events leading up to this point in the video?,"The video starts with a woman in a white shirt and black blazer sitting in a chair, talking to the camera. Then, a man in a blue shirt and jeans appears and starts talking to the camera. Later, the woman is seen in a pink dress, and the man is seen in a suit. The video ends with the woman in the white shirt and black blazer, talking to the camera.</s>"
39,Pitcher की Presentation के बाद Aman ने पूछा ‘Khaane Me Kya Hai’  Shark Tank India S3  Full Pitch.mp4,8.047247886657715,Can you describe any notable actions or dialogue in the video?,"Yes, in the video, a woman is seen sitting in a chair and talking to the camera. She then stands up and continues talking. Additionally, a man is seen sitting in a chair and talking to the camera.</s>"
40,Is this the True Reason.mp4,6.405260801315308,Can you provide a summary of the video?,Sure! The video shows a man standing in front of a large rock and pointing at it. He then proceeds to touch the rock and continues pointing at it.</s>
41,Is this the True Reason.mp4,8.31559443473816,Describe the events unfolding in the video.,"The video shows a man standing in front of a large rock, pointing to different parts of it. He then proceeds to touch the rock and continues pointing to different parts of it.</s>"
42,Is this the True Reason.mp4,8.73290228843689,Give me an overview of what's going on in the video.,The video shows a man wearing a blue shirt and sunglasses standing in front of a large rock wall. He points to different parts of the wall and talks about them.</s>
43,Is this the True Reason.mp4,7.1682164669036865,Who are the main characters in the video?,"The main characters in the video are a man wearing a blue shirt and glasses, and a woman who is also wearing a blue shirt. They are exploring ancient ruins and statues together.</s>"
44,Is this the True Reason.mp4,9.161076068878174,What is the setting of the video?,The video is set in a large outdoor area with a lot of statues and ancient ruins. The man is seen standing in front of a large stone wall and a statue of an elephant.</s>
45,Is this the True Reason.mp4,9.849173545837402,What is the main conflict or problem presented in the video?,"The main conflict or problem presented in the video is the man's struggle to find a way out of the ancient temple. He is seen exploring the temple and trying to find a way out, but the temple seems to be a maze-like structure with no clear path out.</s>"
46,Is this the True Reason.mp4,8.64191484451294,What are the key events leading up to this point in the video?,"The video starts with a man standing in front of a large rock, and then he walks towards a temple. He then points to the statue and talks about it.</s>"
47,Is this the True Reason.mp4,8.098946332931519,Can you describe any notable actions or dialogue in the video?,"Yes, the man in the video is seen pointing at a statue and talking to the camera. He also points at a few other statues and talks to the camera. Additionally, there is a yellow sign with the word ""tourist"" on it visible in the video.</s>"
48,Cersei Lannister When you play game of thrones you win or you die shorts gameofthrones.mp4,7.093413829803467,Can you provide a summary of the video?,Sure! The video features a man with long hair who is seen talking to the camera. He then talks to a woman who is also seen talking to the camera. The man then talks to a group of people while holding a sword.</s>
49,Cersei Lannister When you play game of thrones you win or you die shorts gameofthrones.mp4,9.104747772216797,Describe the events unfolding in the video.,"The video shows a man and a woman talking to the camera, followed by a man speaking to the camera. The man then talks to the woman, and they both laugh. The video ends with the man speaking to the camera again.</s>"
50,Cersei Lannister When you play game of thrones you win or you die shorts gameofthrones.mp4,8.27888035774231,Give me an overview of what's going on in the video.,"The video shows a man and a woman talking to the camera, with the man speaking to the camera and the woman smiling. The man then speaks to the camera again, and the woman is shown smiling.</s>"
51,Cersei Lannister When you play game of thrones you win or you die shorts gameofthrones.mp4,6.6302478313446045,Who are the main characters in the video?,The main characters in the video are a man with long hair and a woman with long blonde hair. They are shown sitting on a bench and talking to each other.</s>
52,Cersei Lannister When you play game of thrones you win or you die shorts gameofthrones.mp4,6.911937713623047,What is the setting of the video?,"The video is set in a garden, where a man and a woman are seen talking to the camera.</s>"
53,Cersei Lannister When you play game of thrones you win or you die shorts gameofthrones.mp4,8.971044778823853,What is the main conflict or problem presented in the video?,"The main conflict in the video is the man's struggle to find water in the desert. He is seen walking through the desert and looking for water, which is a common problem faced by people in such environments.</s>"
54,Cersei Lannister When you play game of thrones you win or you die shorts gameofthrones.mp4,8.964741468429565,What are the key events leading up to this point in the video?,"The video starts with a man speaking to the camera, followed by a woman walking through a field. The man then speaks to the camera again, and the woman is seen walking through the field. The video ends with the man speaking to the camera once more.</s>"
55,Cersei Lannister When you play game of thrones you win or you die shorts gameofthrones.mp4,11.487394094467163,Can you describe any notable actions or dialogue in the video?,"Yes, there are several notable actions and dialogue in the video. One man is seen holding a knife and talking to another man, while another man is holding a sword and talking to a woman. Additionally, a man is seen holding a knife and talking to a woman, while another man is holding a knife and talking to a woman. The video also features a man holding a knife and talking to a woman, and a man holding a knife and talking to a woman.</s>"
